ward,name,lat,lng
千代田区,千代田区: 皇居,35.6852,139.7528
千代田区,千代田区: 国会議事堂,35.6759,139.7449
千代田区,千代田区: 神田明神,35.7020,139.7680
中央区,中央区: SEIKO時計台,35.6718,139.7650
中央区,中央区: 歌舞伎座,35.6695,139.7672
中央区,中央区: 浜離宮庭園,35.6596,139.7633
中央区,中央区: 水天宮,35.6831,139.7847
中央区,中央区: 日本銀行,35.6863,139.7710
港区,港区: 東京タワー,35.6586,139.7454
港区,港区: 迎賓館,35.6803,139.7292
港区,港区: アクアパーク品川,35.6276,139.7351
港区,港区: 国立新美術館,35.6655,139.7264
港区,港区: 麻布台ヒルズ,35.6635,139.7390
品川区,品川区: 大井競馬場,35.5906,139.7451
品川区,品川区: 戸越銀座商店街,35.6157,139.7153
品川区,品川区: 御殿山庭園,35.6217,139.7363
目黒区,目黒区: 東大駒場キャンパス,35.6611,139.6850
目黒区,目黒区: 中目黒公園,35.6416,139.7047
目黒区,目黒区: 池尻大橋駅,35.6505,139.6841
渋谷区,渋谷区: 明治神宮本殿,35.6764,139.6993
渋谷区,渋谷区: 竹下通り,35.6716,139.7041
渋谷区,渋谷区: 恵比寿ガーデンプレイスタワー,35.6425,139.7132
新宿区,新宿区: 東京都庁,35.6895,139.6917
新宿区,新宿区: 新宿御苑,35.6852,139.7101
新宿区,新宿区: 市屋の杜本と活字館,35.6925,139.7327
新宿区,新宿区: 防衛省,35.6931,139.7275
新宿区,新宿区: 早稲田大学本キャン,35.7099,139.7222
豊島区,豊島区: サンシャインシティ,35.7289,139.7193
豊島区,豊島区: 東京芸術劇場,35.7301,139.7077
豊島区,豊島区: 妙義神社,35.7388,139.7461
文京区,文京区: 東大本郷キャンパス,35.7126,139.7620
文京区,文京区: 東京ドーム,35.7056,139.7519
文京区,文京区: 湯島天満宮,35.7077,139.7681
文京区,文京区: 六義園,35.7329,139.7464
文京区,文京区: 根津神社,35.7202,139.7608
台東区,台東区: 浅草寺,35.7148,139.7967
台東区,台東区: 東京国立博物館,35.7189,139.7765
台東区,台東区: 松坂屋上野店,35.7075,139.7730
墨田区,墨田区: 東京スカイツリー,35.7101,139.8107
墨田区,墨田区: 両国国技館,35.6969,139.7933
墨田区,墨田区: 錦糸公園,35.7020,139.8166
江東区,江東区: 豊洲市場,35.6445,139.7845
江東区,江東区: 清澄公園,35.6806,139.7981
江東区,江東区: 猿江恩賜公園,35.6839,139.8202
江東区,江東区: 夢の島公園,35.6515,139.8277
江東区,江東区: 亀戸梅屋敷,35.6991,139.8258
江戸川区,江戸川区: 葛西臨海公園,35.6444,139.8621
江戸川区,江戸川区: 小岩駅,35.7335,139.8819
江戸川区,江戸川区: 篠崎駅,35.7067,139.9026
葛飾区,葛飾区: こち亀記念館,35.7661,139.8475
葛飾区,葛飾区: 新小岩公園,35.7206,139.8517
葛飾区,葛飾区: 東京理科大学葛飾キャンパス,35.7681,139.8604
足立区,足立区: 見沼代親水公園,35.8138,139.7687
足立区,足立区: 舎人公園,35.7954,139.7712
足立区,足立区: 北綾瀬駅,35.7768,139.8315
足立区,足立区: 北千住マルイ,35.7497,139.8052
足立区,足立区: 千住大橋,35.7402,139.7975
荒川区,荒川区: 荒川公園,35.7360,139.7834
荒川区,荒川区: 尾久の原公園,35.7534,139.7737
荒川区,荒川区: 諏方神社,35.7314,139.7674
北区,北区: 赤羽駅,35.7777,139.7210
北区,北区: 赤羽岩淵駅,35.7836,139.7217
北区,北区: 飛鳥山公園,35.7512,139.7375
北区,北区: 瀧野川八幡神社,35.7483,139.7201
北区,北区: 王子稲荷神社,35.7570,139.7327
板橋区,板橋区: 高島平駅,35.7891,139.6614
板橋区,板橋区: 板橋駅,35.7455,139.7195
板橋区,板橋区: 地下鉄成増駅,35.7770,139.6328
板橋区,板橋区: 東京大仏乗蓮寺,35.7788,139.6548
板橋区,板橋区: 城山熊野神社,35.7750,139.6925
練馬区,練馬区: としまえん跡,35.7433,139.6467
練馬区,練馬区: 光が丘公園,35.7618,139.6315
練馬区,練馬区: 練馬文化センター,35.7389,139.6544
中野区,中野区: 中野サンプラザ,35.7077,139.6638
中野区,中野区: 中野セントラルパーク,35.7073,139.6601
中野区,中野区: 中野坂上駅,35.6974,139.6823
中野区,中野区: 中野新町駅,35.6911,139.6761
杉並区,杉並区: 杉並公会堂,35.7051,139.6190
杉並区,杉並区: 蚕糸の森公園,35.6974,139.6560
杉並区,杉並区: 阿佐ヶ谷明神宮,35.7061,139.6369
杉並区,杉並区: 西荻南口仲通商店会,35.7031,139.5997
杉並区,杉並区: 杉並区役所,35.6995,139.6364
世田谷区,世田谷区: 三軒茶屋駅,35.6436,139.6713
世田谷区,世田谷区: 下北沢駅,35.6616,139.6672
世田谷区,世田谷区: 二子玉川駅,35.6117,139.6265
世田谷区,世田谷区: 明大前駅,35.6685,139.6503
世田谷区,世田谷区: 池尻大橋駅(エレベーター口),35.6505,139.6841
大田区,大田区: 池上本門寺,35.5788,139.7053
大田区,大田区: ボートレース平和島,35.5840,139.7425
大田区,大田区: 郷土博物館,35.5900,139.7083
大田区,大田区: 成田山圓能寺,35.5891,139.7285
大田区,大田区: 京急蒲田駅,35.5608,139.7238
